CmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,TotalTimeMs,ParentMLAction,Error
96,2026-04-13 17:33:28.979,MoveToLL,MoveToLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,movel,initlocstick11,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5155.00,0.00,7185.27,,
97,2026-04-13 17:33:36.307,CloseGripperLL,CloseGripperLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.67,0.00,2063.03,,
98,2026-04-13 17:33:38.504,MoveToLL,MoveToLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5905.77,0.00,7974.47,,
99,2026-04-13 17:33:49.604,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup12,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10862.56,0.00,12916.25,,
100,2026-04-13 17:34:02.796,MoveToLL,MoveToLL_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,planned,finallocstick11,gripper,0.30,0.30,"0.325019;0.754234;0.025000;-0.760020;-3.048274;0.000000","",True,19123.75,0.00,21151.71,,
101,2026-04-13 17:34:24.093,MoveToLL,MoveToLL_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10053.19,0.00,12084.20,,
102,2026-04-13 17:34:39.279,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup12,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10911.05,0.00,12936.50,,
103,2026-04-13 17:35:09.601,MoveToLL,MoveToLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,movel,initlocstick10,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,5426.04,0.00,7453.76,,
104,2026-04-13 17:35:17.193,CloseGripperLL,CloseGripperLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.95,0.00,2054.65,,
105,2026-04-13 17:35:19.380,MoveToLL,MoveToLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5251.81,0.00,7274.92,,
106,2026-04-13 17:35:29.950,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup13,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10745.88,0.00,12796.38,,
107,2026-04-13 17:35:43.022,MoveToLL,MoveToLL_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_stick6_cube1_gripper1_layer2_layer3,planned,finallocstick10,gripper,0.30,0.30,"0.270176;0.966871;0.025000;1.618040;-2.692871;0.000000","",True,21524.60,0.00,23560.08,,
108,2026-04-13 17:36:06.721,MoveToLL,MoveToLL_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_stick6_cube1_gripper1_layer2_layer3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,13589.50,0.00,15599.55,,
109,2026-04-13 17:36:25.583,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup13,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10749.38,0.00,12780.49,,
110,2026-04-13 17:38:26.548,MoveToLL,MoveToLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,movel,initlocstick13,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5157.40,0.00,7207.41,,
111,2026-04-13 17:38:33.904,CloseGripperLL,CloseGripperLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.69,0.00,2072.69,,
112,2026-04-13 17:38:36.135,MoveToLL,MoveToLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5833.87,0.00,7879.80,,
113,2026-04-13 17:38:47.268,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup14,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10746.32,0.00,12795.89,,
114,2026-04-13 17:39:00.367,MoveToLL,MoveToLL_StackOnTwoML_stick13_robot1_finallocstick13_rpmanipulate_stick9_stick8_gripper1_layer2_layer3,planned,finallocstick13,gripper,0.30,0.30,"-0.002981;0.875107;0.025000;3.048274;0.760020;0.000000","",True,16671.24,0.00,18724.64,,
115,2026-04-13 17:39:19.227,MoveToLL,MoveToLL_StackOnTwoML_stick13_robot1_finallocstick13_rpmanipulate_stick9_stick8_gripper1_layer2_layer3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,9349.51,0.00,11396.86,,
116,2026-04-13 17:39:34.026,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup14,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,11290.81,0.00,13335.59,,
117,2026-04-13 17:40:03.977,MoveToLL,MoveToLL_PickUpML_stick14_initlocstick14_robot1_gripper1_rppickup,movel,initlocstick14,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,5379.70,0.00,7426.27,,
118,2026-04-13 17:40:11.541,CloseGripperLL,CloseGripperLL_PickUpML_stick14_initlocstick14_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.88,0.00,2051.30,,
119,2026-04-13 17:40:13.727,MoveToLL,MoveToLL_PickUpML_stick14_initlocstick14_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5928.27,0.00,7975.82,,
120,2026-04-13 17:40:24.950,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup15,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10752.10,0.00,12793.29,,
121,2026-04-13 17:40:38.043,MoveToLL,MoveToLL_StackOnTwoML_stick14_robot1_finallocstick14_rpmanipulate_cube2_stick9_gripper1_layer2_layer3,planned,finallocstick14,gripper,0.30,0.30,"-0.188963;0.959695;0.025000;-1.618040;-2.692871;0.000000","",True,17483.89,0.00,19527.61,,
122,2026-04-13 17:40:57.699,MoveToLL,MoveToLL_StackOnTwoML_stick14_robot1_finallocstick14_rpmanipulate_cube2_stick9_gripper1_layer2_layer3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10074.70,0.00,12103.09,,
123,2026-04-13 17:41:12.930,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup15,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10850.19,0.00,12911.17,,
124,2026-04-13 17:41:31.392,MoveToLL,MoveToLL_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,movel,initlocstick12,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5250.83,0.00,7275.60,,
125,2026-04-13 17:41:38.818,CloseGripperLL,CloseGripperLL_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.37,0.00,2045.61,,
126,2026-04-13 17:41:41.021,MoveToLL,MoveToLL_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5910.24,0.00,7951.25,,
127,2026-04-13 17:41:52.409,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup16,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11293.45,0.00,13307.14,,
128,2026-04-13 17:42:06.006,MoveToLL,MoveToLL_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,planned,finallocstick12,gripper,0.30,0.30,"0.105927;0.687251;0.025000;2.692871;1.618040;0.000000","",True,15097.56,0.00,17133.59,,
129,2026-04-13 17:42:23.268,MoveToLL,MoveToLL_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,8652.20,0.00,10696.35,,
130,2026-04-13 17:42:37.102,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup3,movej,rptoolchange,,1.00,0.30,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,8746.34,0.00,10795.02,,
131,2026-04-13 17:42:48.167,DeequipToolLL,DeequipToolLL_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup2,play_program,,gripper,0.50,1.00,"","",True,20628.94,0.00,22671.14,,
132,2026-04-13 17:43:11.141,EquipToolLL,EquipToolLL_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup2,play_program,,nailgun,0.50,1.00,"","",True,10337.09,0.00,12380.72,,
133,2026-04-13 17:43:26.842,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rpmanipulate_dup2,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,8644.40,0.00,10688.61,,
134,2026-04-13 17:43:38.123,NailingLL,NailingLL_NailingML_stick10_stick6_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.314000;0.943000;0.045000;0.000000;0.000000;0.000000","",True,20383.63,0.00,22436.29,,
135,2026-04-13 17:44:03.726,NailingLL,NailingLL_NailingML_stick13_stick8_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.033000;0.808000;0.045000;0.000000;0.000000;0.000000","",True,9908.57,0.00,11952.65,,
136,2026-04-13 17:44:18.832,NailingLL,NailingLL_NailingML_stick10_cube1_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.202000;1.001000;0.045000;0.000000;0.000000;0.000000","",True,15523.88,0.00,17568.56,,
137,2026-04-13 17:44:39.568,NailingLL,NailingLL_NailingML_stick11_stick6_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.358000;0.816000;0.045000;0.000000;0.000000;0.000000","",True,13910.20,0.00,15960.40,,
138,2026-04-13 17:44:58.695,NailingLL,NailingLL_NailingML_stick11_stick7_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.295000;0.698000;0.045000;0.000000;0.000000;0.000000","",True,14703.49,0.00,16753.47,,
139,2026-04-13 17:45:18.712,NailingLL,NailingLL_NailingML_stick12_stick7_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.168000;0.654000;0.045000;0.000000;0.000000;0.000000","",True,14615.04,0.00,16666.63,,
140,2026-04-13 17:45:38.688,NailingLL,NailingLL_NailingML_stick12_stick8_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"0.015000;0.735000;0.045000;0.000000;0.000000;0.000000","",True,11373.82,0.00,13407.10,,
141,2026-04-13 17:45:55.288,NailingLL,NailingLL_NailingML_stick13_stick9_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.033000;0.931000;0.045000;0.000000;0.000000;0.000000","",True,7485.56,0.00,9524.51,,
142,2026-04-13 17:46:08.253,NailingLL,NailingLL_NailingML_stick14_cube2_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.226000;0.941000;0.045000;0.000000;0.000000;0.000000","",True,10430.59,0.00,12479.00,,
143,2026-04-13 17:46:23.923,NailingLL,NailingLL_NailingML_stick14_stick9_robot1_staplergun1_rpmanipulate,planned,unknown,nailgun,0.30,0.30,"-0.160000;0.975000;0.045000;0.000000;0.000000;0.000000","",True,12286.41,0.00,14332.35,,
144,2026-04-13 17:46:42.304,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup4,movej,rptoolchange,,1.00,0.30,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,10835.97,0.00,12888.93,,
145,2026-04-13 17:46:55.786,DeequipToolLL,DeequipToolLL_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup2,play_program,,nailgun,0.50,1.00,"","",True,7240.92,0.00,9288.09,,
146,2026-04-13 17:47:05.392,EquipToolLL,EquipToolLL_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup2,play_program,,gripper,0.50,1.00,"","",True,20654.38,0.00,22677.67,,
147,2026-04-13 17:47:31.539,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rppickup_dup2,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,11479.11,0.00,13543.50,,
148,2026-04-13 17:48:39.416,MoveToLL,MoveToLL_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,movel,initlocstick15,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5278.21,0.00,7352.92,,
149,2026-04-13 17:48:46.908,CloseGripperLL,CloseGripperLL_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,14.03,0.00,2061.25,,
150,2026-04-13 17:48:49.118,MoveToLL,MoveToLL_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5921.96,0.00,7959.44,,
151,2026-04-13 17:49:00.553,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup17,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11223.96,0.00,13264.78,,
152,2026-04-13 17:49:14.099,MoveToLL,MoveToLL_StackOnTwoML_stick15_robot1_finallocstick15_rpmanipulate_stick11_stick10_gripper1_layer3_layer4,planned,finallocstick15,gripper,0.30,0.30,"0.338461;0.872217;0.042500;0.410060;-3.114716;0.000000","",True,20685.36,0.00,22752.08,,
153,2026-04-13 17:49:36.997,MoveToLL,MoveToLL_StackOnTwoML_stick15_robot1_finallocstick15_rpmanipulate_stick11_stick10_gripper1_layer3_layer4,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,12128.26,0.00,14192.39,,
154,2026-04-13 17:49:54.533,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup16,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10738.40,0.00,12793.15,,
155,2026-04-13 17:50:13.152,MoveToLL,MoveToLL_PickUpML_cube4_initloccube4_robot1_gripper1_rppickup,movel,initloccube4,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6343.24,0.00,8400.15,,
156,2026-04-13 17:50:21.699,CloseGripperLL,CloseGripperLL_PickUpML_cube4_initloccube4_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,12.76,0.00,2068.41,,
157,2026-04-13 17:50:23.935,MoveToLL,MoveToLL_PickUpML_cube4_initloccube4_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5130.92,0.00,7188.62,,
158,2026-04-13 17:50:34.320,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup18,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10790.85,0.00,12839.45,,
159,2026-04-13 17:50:47.477,MoveToLL,MoveToLL_StackML_cube4_stick14_robot1_gripper1_finloccube4_rpmanipulate,planned,finloccube4,gripper,0.30,0.30,"-0.236642;0.934344;0.042500;-1.618040;-2.692871;0.000000","",True,16678.18,0.00,18720.10,,
160,2026-04-13 17:51:06.342,MoveToLL,MoveToLL_StackML_cube4_stick14_robot1_gripper1_finloccube4_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10046.55,0.00,12087.29,,
161,2026-04-13 17:51:21.796,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup17,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,11330.92,0.00,13376.83,,
162,2026-04-13 17:51:39.900,MoveToLL,MoveToLL_PickUpML_stick18_initlocstick18_robot1_gripper1_rppickup,movel,initlocstick18,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5261.88,0.00,7296.08,,
163,2026-04-13 17:51:47.364,CloseGripperLL,CloseGripperLL_PickUpML_stick18_initlocstick18_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,2.30,0.00,2064.81,,
164,2026-04-13 17:51:49.573,MoveToLL,MoveToLL_PickUpML_stick18_initlocstick18_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5825.12,0.00,7862.42,,
165,2026-04-13 17:52:00.701,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup19,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10739.44,0.00,12789.91,,
166,2026-04-13 17:52:13.803,MoveToLL,MoveToLL_StackOnTwoML_stick18_robot1_finallocstick18_rpmanipulate_stick14_stick13_gripper1_layer3_layer4,planned,finallocstick18,gripper,0.30,0.30,"-0.104090;0.955533;0.042500;2.492393;1.912480;0.000000","",True,16660.36,0.00,18717.84,,
167,2026-04-13 17:52:32.665,MoveToLL,MoveToLL_StackOnTwoML_stick18_robot1_finallocstick18_rpmanipulate_stick14_stick13_gripper1_layer3_layer4,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,9363.65,0.00,11399.51,,
168,2026-04-13 17:52:47.330,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup18,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10737.07,0.00,12782.36,,
169,2026-04-13 17:53:15.572,MoveToLL,MoveToLL_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,movel,initloccube3,,0.30,0.30,"0.607370;-0.274820;-0.009000;0.000000;-3.141590;0.000000","",True,6344.44,0.00,8380.41,,
170,2026-04-13 17:53:24.106,CloseGripperLL,CloseGripperLL_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1.25,0.00,2035.03,,
171,2026-04-13 17:53:26.287,MoveToLL,MoveToLL_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5232.68,0.00,7275.47,,
172,2026-04-13 17:53:36.780,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup20,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10761.43,0.00,12819.93,,
173,2026-04-13 17:53:49.878,MoveToLL,MoveToLL_StackML_cube3_stick10_robot1_gripper1_finloccube3_rpmanipulate,planned,finloccube3,gripper,0.30,0.30,"0.212575;0.997498;0.042500;2.692871;1.618040;0.000000","",True,17519.61,0.00,19550.25,,
174,2026-04-13 17:54:09.578,MoveToLL,MoveToLL_StackML_cube3_stick10_robot1_gripper1_finloccube3_rpmanipulate,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10045.27,0.00,12081.25,,
175,2026-04-13 17:54:24.989,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup19,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,10737.38,0.00,12796.54,,
176,2026-04-13 17:54:44.086,MoveToLL,MoveToLL_PickUpML_stick17_initlocstick17_robot1_gripper1_rppickup,movel,initlocstick17,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5286.29,0.00,7321.42,,
177,2026-04-13 17:54:51.543,CloseGripperLL,CloseGripperLL_PickUpML_stick17_initlocstick17_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.71,0.00,2072.78,,
178,2026-04-13 17:54:53.747,MoveToLL,MoveToLL_PickUpML_stick17_initlocstick17_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5933.56,0.00,7965.39,,
179,2026-04-13 17:55:05.043,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup21,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11332.23,0.00,13409.65,,
180,2026-04-13 17:55:18.748,MoveToLL,MoveToLL_StackOnTwoML_stick17_robot1_finallocstick17_rpmanipulate_stick12_stick13_gripper1_layer3_layer4,planned,finallocstick17,gripper,0.30,0.30,"0.010461;0.757124;0.042500;3.114716;-0.410060;0.000000","",True,17495.26,0.00,19538.35,,
181,2026-04-13 17:55:38.429,MoveToLL,MoveToLL_StackOnTwoML_stick17_robot1_finallocstick17_rpmanipulate_stick12_stick13_gripper1_layer3_layer4,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11422.63,0.00,13489.86,,
182,2026-04-13 17:55:55.309,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup20,movej,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,11286.00,0.00,13350.15,,
183,2026-04-13 17:56:10.131,MoveToLL,MoveToLL_PickUpML_stick16_initlocstick16_robot1_gripper1_rppickup,movel,initlocstick16,,0.30,0.30,"0.607370;-0.274820;-0.006000;0.000000;-3.141590;0.000000","",True,5306.21,0.00,7348.82,,
184,2026-04-13 17:56:17.640,CloseGripperLL,CloseGripperLL_PickUpML_stick16_initlocstick16_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,13.46,0.00,2062.80,,
185,2026-04-13 17:56:19.853,MoveToLL,MoveToLL_PickUpML_stick16_initlocstick16_robot1_gripper1_rppickup,movel,rppickup,,1.00,0.30,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;1.433690",True,5835.05,0.00,7865.34,,
186,2026-04-13 17:56:30.987,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup22,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,10745.74,0.00,12790.91,,
187,2026-04-13 17:56:44.082,MoveToLL,MoveToLL_StackOnTwoML_stick16_robot1_finallocstick16_rpmanipulate_stick12_stick11_gripper1_layer3_layer4,planned,finallocstick16,gripper,0.30,0.30,"0.223910;0.673808;0.042500;-1.912480;-2.492393;0.000000","",True,15062.30,0.00,17119.48,,
188,2026-04-13 17:57:01.355,MoveToLL,MoveToLL_StackOnTwoML_stick16_robot1_finallocstick16_rpmanipulate_stick12_stick11_gripper1_layer3_layer4,movej,rpmanipulate,,1.00,0.30,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,8626.88,0.00,10674.34,,
189,2026-04-13 17:57:15.296,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup5,movej,rptoolchange,,1.00,0.30,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,8641.18,0.00,10687.20,,
